device_id,ipei,device_location,location_name
VOCO_K108,0328E9CBF0,Fragrance,ST_UKTK_0256(34/5)_Leyton Mills
VOCO_K106,0328E8700F,Fragrance 2,ST_UKTK_0256(34/5)_Leyton Mills
VOCO_K109,0328E9CBBE,Handbags,ST_UKTK_0256(34/5)_Leyton Mills
VOCO_K107,0328E86FD9,Mens Outerwear,ST_UKTK_0256(34/5)_Leyton Mills
VOCO_K105,0328E325F3,Womens Outerwear,ST_UKTK_0256(34/5)_Leyton Mills
VOCO_K103,02EB63D089,click and collect2,ST_UKTK_0256(34/5)_Leyton Mills
VOCO_K101,0328E40805,Click and Collect,ST_UKTK_0262(20/3)_Fareham
VOCO_K102,0328E9CE45,Fragrance 1,ST_UKTK_0262(20/3)_Fareham
VOCO_K103,0328D33A7F,Fragrance 2,ST_UKTK_0262(20/3)_Fareham
VOCO_K106,0328E86F73,Click and Collect,ST_UKTK_0270(77/7)_Bull Ring
VOCO_K109,0328E8710B,Customer Toilets,ST_UKTK_0270(77/7)_Bull Ring
VOCO_K102,0328E0F49E,Fragrance 1,ST_UKTK_0270(77/7)_Bull Ring
VOCO_K114,0328E842C4,Gold Label Handbags 1,ST_UKTK_0270(77/7)_Bull Ring
VOCO_K110,0328E9CD49,Hanbags 3 ,ST_UKTK_0270(77/7)_Bull Ring
VOCO_K117,0328E9CD5C,Handbags 1,ST_UKTK_0270(77/7)_Bull Ring
VOCO_K103,0328E97607,Handbags 2,ST_UKTK_0270(77/7)_Bull Ring
VOCO_K104,0328E843AB,Handbags 4,ST_UKTK_0270(77/7)_Bull Ring
VOCO_K113,0328E84399,Handbags 5,ST_UKTK_0270(77/7)_Bull Ring
VOCO_K101,0328E842C5,Handbags 6,ST_UKTK_0270(77/7)_Bull Ring
VOCO_K107,0328E8706E,Handbags 7,ST_UKTK_0270(77/7)_Bull Ring
VOCO_K108,0328E7B8FF,Handbags 8,ST_UKTK_0270(77/7)_Bull Ring
VOCO_K105,0328E7B79D,Jewellery 1,ST_UKTK_0270(77/7)_Bull Ring
VOCO_K112,0328EA1220,Mens Outerwear,ST_UKTK_0270(77/7)_Bull Ring
VOCO_K115,0328EA137C,Womens Outerwear,ST_UKTK_0270(77/7)_Bull Ring
VOCO_K105,0328E9CC78,Click and Collect,ST_UKTK_0275(41/6)_Bromley
VOCO_K106,0328E9CC7A,Click and Collect,ST_UKTK_0275(41/6)_Bromley
VOCO_K102,0328E840C2,Fragrance,ST_UKTK_0275(41/6)_Bromley
VOCO_K101,0328E7B914,Handbags,ST_UKTK_0275(41/6)_Bromley
VOCO_K105,0328E8406E,Click and Collect 2,ST_UKTK_0279(40/5)_Clapham
VOCO_K104,0328EA73E5,Fragrance 2,ST_UKTK_0279(40/5)_Clapham
VOCO_K106,0328E7B8A6,Gold Label Handbags,ST_UKTK_0279(40/5)_Clapham
VOCO_K101,0328E86F92,Gold Label Handbags,ST_UKTK_0279(40/5)_Clapham
VOCO_K107,0328E87131,Handbag,ST_UKTK_0279(40/5)_Clapham
VOCO_K101,0328E7BA03,Click and Collect 1,ST_UKTK_0285(30/5)_Kew
VOCO_K102,0328E891D7,Click and Collect 2,ST_UKTK_0285(30/5)_Kew
VOCO_K103,0328E891A7,Fragrance 1,ST_UKTK_0285(30/5)_Kew
VOCO_K101,0328E7BBE8,Click and Collect,ST_UKTK_0291(20/02/01)_Kettering
VOCO_K102,0328E96D3F,Fragerance,ST_UKTK_0291(20/02/01)_Kettering
VOCO_K107,0328E842CB,Fragrance 1,ST_UKTK_0292(41/7)_Lewisham
VOCO_K110,0328E86FED,Fragrance 2,ST_UKTK_0292(41/7)_Lewisham
VOCO_K111,0328E894A4,Fragrance 3,ST_UKTK_0292(41/7)_Lewisham
VOCO_K106,0328E840E4,Handbags 1,ST_UKTK_0292(41/7)_Lewisham
VOCO_K104,0328E86F9A,Handbags 2,ST_UKTK_0292(41/7)_Lewisham
VOCO_K103,0328E843B8,Handbags 3,ST_UKTK_0292(41/7)_Lewisham
VOCO_K102,0328E84066,Handbags 4,ST_UKTK_0292(41/7)_Lewisham
VOCO_K108,0328E84137,Handbags 5,ST_UKTK_0292(41/7)_Lewisham
VOCO_K109,0328E86F9E,Handbags 6,ST_UKTK_0292(41/7)_Lewisham
VOCO_K105,0328E84024,Jewellery 1,ST_UKTK_0292(41/7)_Lewisham
VOCO_K101,0328E8414F,Jewellery 2,ST_UKTK_0292(41/7)_Lewisham
VOCO_K102,0328E7B6C3,C&C 2,ST_UKTK_0301(20/05/01)_Hemel Hempstead_S5
VOCO_K101,0328E7B6BE,Click and Collect,ST_UKTK_0301(20/05/01)_Hemel Hempstead_S5
VOCO_K107,0328E89311,Click & Collect,ST_UKTK_0317(30/4)_Farnborough
VOCO_K101,0328E841CB,Fragnance,ST_UKTK_0317(30/4)_Farnborough
VOCO_K102,0328E892AC,Sales Floor,ST_UKTK_0317(30/4)_Farnborough
VOCO_K106,0328E7B849,Sales Floor 1,ST_UKTK_0317(30/4)_Farnborough
VOCO_K104,0328EA64B4,Click & Collect,ST_UKTK_0330(20/3)_Corby
VOCO_K102,0328E40887,Fragrance,ST_UKTK_0330(20/3)_Corby
VOCO_K103,0328E87062,Sales Floor,ST_UKTK_0330(20/3)_Corby
VOCO_K103,0328E743E4,Click and Collect,ST_UKTK_0344(30/6)_Wembley
VOCO_K104,0328E4082D,Fragance,ST_UKTK_0344(30/6)_Wembley
VOCO_K105,0328E843B1,Handbags 1,ST_UKTK_0344(30/6)_Wembley
VOCO_K106,0328E84351,Handbags 2,ST_UKTK_0344(30/6)_Wembley
VOCO_K107,0328E84308,Handbags 3,ST_UKTK_0344(30/6)_Wembley
VOCO_K108,0328E843C0,Handbags 4,ST_UKTK_0344(30/6)_Wembley
VOCO_K109,0328E84150,Handbags 5,ST_UKTK_0344(30/6)_Wembley
VOCO_K110,0328E84344,Handbags 6,ST_UKTK_0344(30/6)_Wembley
VOCO_K102,0328D3377C,Jewellery 1,ST_UKTK_0344(30/6)_Wembley
VOCO_K105,0328E9CCBB,Click and Collect,ST_UKTK_0346(35/5)_Milton Keynes Centre
VOCO_K106,0328E9CCB1,Click and Collect 2,ST_UKTK_0346(35/5)_Milton Keynes Centre
VOCO_K104,0328E891CD,Fragrance ,ST_UKTK_0346(35/5)_Milton Keynes Centre
VOCO_K107,0328E9CCBC,Fragrance 2,ST_UKTK_0346(35/5)_Milton Keynes Centre
VOCO_K101,0328E9CE9E,Handbags 1,ST_UKTK_0346(35/5)_Milton Keynes Centre
VOCO_K102,0328E9CC2B,Handbags 2,ST_UKTK_0346(35/5)_Milton Keynes Centre
VOCO_K103,0328E8703D,Sales Floor 1,ST_UKTK_0346(35/5)_Milton Keynes Centre
VOCO_K103,0328D2FADC,Click and Collect,ST_UKTK_0358(30/4)_Wimbledon
VOCO_K105,0328EA6457,Click and collect,ST_UKTK_0358(30/4)_Wimbledon
VOCO_K101,0328E8705C,Fragrance,ST_UKTK_0358(30/4)_Wimbledon
VOCO_K102,0328E870DA,Jewellery,ST_UKTK_0358(30/4)_Wimbledon
VOCO_K104,0328E870BB,Sales Floor,ST_UKTK_0358(30/4)_Wimbledon
VOCO_K103,0328E7433B,Click and Collect,ST_UKTK_0376(25/01)_Peterborough Queensgate_New
