snapshot_file,processed_time
TJX_VCV33x0_2026-04-30_15-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-30_16-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-30_17-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-30_18-30-10.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-30_19-30-10.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-30_20-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-30_21-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-30_22-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-04-30_23-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-01_00-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-01_01-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-01_02-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-01_03-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-01_04-30-10.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-01_05-30-10.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-01_06-30-10.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-01_07-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-01_08-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-01_09-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-01_10-30-10.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-01_11-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-01_12-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-01_13-30-10.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-01_14-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-01_15-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-01_16-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-01_17-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-01_18-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-01_19-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-01_20-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-01_21-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-01_22-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-01_23-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-02_00-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-02_01-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-02_02-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-02_03-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-02_04-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-02_05-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-02_06-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-02_07-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-02_08-30-10.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-02_09-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-02_10-30-10.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-02_11-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-02_12-30-10.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-02_13-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-02_14-30-10.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-02_15-30-08.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-02_16-30-10.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-02_17-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-02_18-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-02_19-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-02_20-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-02_21-30-10.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-02_22-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-02_23-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-03_00-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-03_01-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-03_02-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-03_03-30-10.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-03_04-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-03_05-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-03_06-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-03_07-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-03_08-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-03_09-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-03_10-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-03_11-30-10.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-03_12-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-03_13-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-03_14-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-03_15-30-08.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-03_16-30-10.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-03_17-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-03_18-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-03_19-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-03_20-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-03_21-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-03_22-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-03_23-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-04_00-30-10.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-04_01-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-04_02-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-04_03-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-04_04-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-04_05-30-09.csv,2026-05-06T12:23:14.212655
TJX_VCV33x0_2026-05-04_06-30-10.csv,2026-05-06T12:23:14.212655
